observation_date,OVXCLS
2020-01-24,34.55
2020-01-27,37.72
2020-01-28,36.42
2020-01-29,35.73
2020-01-30,37.49
2020-01-31,40.35
2020-02-03,41.81
2020-02-04,39.44
2020-02-05,37.88
2020-02-06,36.44
2020-02-07,37.51
2020-02-10,39.01
2020-02-11,37.52
2020-02-12,35.58
2020-02-13,35.84
2020-02-14,35.93
2020-02-18,33.47
2020-02-19,32.27
2020-02-20,33.16
2020-02-21,35.87
2020-02-24,39.53
2020-02-25,42.50
2020-02-26,43.40
2020-02-27,49.42
2020-02-28,51.25
2020-03-02,48.33
2020-03-03,50.80
2020-03-04,50.59
2020-03-05,52.58
2020-03-06,65.02
2020-03-09,115.92
2020-03-10,92.93
2020-03-11,105.25
2020-03-12,123.45
2022-01-10,37.65
2022-01-11,34.31
2022-01-12,34.39
2022-01-13,37.11
2022-01-14,41.18
2022-01-18,42.28
2022-01-19,42.75
2022-01-20,41.15
2022-01-21,42.57
2022-01-24,47.84
2022-01-25,47.63
2022-01-26,45.67
2022-01-27,46.90
2022-01-28,47.74
2022-01-31,42.35
2022-02-01,41.31
2022-02-02,41.86
2022-02-03,42.15
2022-02-04,43.88
2022-02-07,43.34
2022-02-08,41.26
2022-02-09,39.40
2022-02-10,43.81
2022-02-11,47.44
2022-02-14,48.83
2022-02-15,48.36
2022-02-16,49.38
2022-02-17,53.14
2022-02-18,52.01
2022-02-22,50.11
2022-02-23,50.51
2022-02-24,49.04
2022-02-25,49.50
2023-11-03,38.53
2023-11-06,36.31
2023-11-07,38.72
2023-11-08,40.44
2023-11-09,41.23
2023-11-10,39.29
2023-11-13,39.40
2023-11-14,38.29
2023-11-15,39.51
2023-11-16,42.53
2023-11-17,40.43
2023-11-20,39.00
2023-11-21,38.52
2023-11-22,42.76
2023-11-24,43.38
2023-11-27,43.90
2023-11-28,43.14
2023-11-29,42.90
2023-11-30,39.40
2023-12-01,35.70
2023-12-04,38.08
2023-12-05,36.36
2023-12-06,39.72
2023-12-07,37.82
2023-12-08,36.24
2023-12-11,35.30
2023-12-12,36.38
2023-12-13,36.60
2023-12-14,33.98
2023-12-15,35.13
2023-12-18,37.09
2023-12-19,35.04
2023-12-20,34.98
2023-12-21,35.44
